V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q42,Q3,Q103,35p.u_35r.u_b,35p.u_30r.u_b,35p.u_25r.u_b,35p.u_20r.u_b,35p.u_15r.u_b,35p.u_10r.u_b,35p.u_05r.u_b,30p.u_35r.u_b,30p.u_30r.u_b,30p.u_25r.u_b,30p.u_20r.u_b,30p.u_15r.u_b,30p.u_10r.u_b,30p.u_05r.u_b,25p.u_35r.u_b,25p.u_30r.u_b,25p.u_25r.u_b,25p.u_20r.u_b,25p.u_15r.u_b,25p.u_10r.u_b,25p.u_05r.u_b,20p.u_35r.u_b,20p.u_30r.u_b,20p.u_25r.u_b,20p.u_20r.u_b,20p.u_15r.u_b,20p.u_10r.u_b,20p.u_05r.u_b,15p.u_35r.u_b,15p.u_30r.u_b,15p.u_25r.u_b,15p.u_20r.u_b,15p.u_15r.u_b,15p.u_10r.u_b,15p.u_05r.u_b,10p.u_35r.u_b,10p.u_30r.u_b,10p.u_25r.u_b,10p.u_20r.u_b,10p.u_15r.u_b,10p.u_10r.u_b,10p.u_05r.u_b,05p.u_35r.u_b,05p.u_30r.u_b,05p.u_25r.u_b,05p.u_20r.u_b,05p.u_15r.u_b,05p.u_10r.u_b,05p.u_05r.u_b,35p.u_35r.d_b,35p.u_30r.d_b,35p.u_25r.d_b,35p.u_20r.d_b,35p.u_15r.d_b,35p.u_10r.d_b,35p.u_05r.d_b,30p.u_35r.d_b,30p.u_30r.d_b,30p.u_25r.d_b,30p.u_20r.d_b,30p.u_15r.d_b,30p.u_10r.d_b,30p.u_05r.d_b,25p.u_35r.d_b,25p.u_30r.d_b,25p.u_25r.d_b,25p.u_20r.d_b,25p.u_15r.d_b,25p.u_10r.d_b,25p.u_05r.d_b,20p.u_35r.d_b,20p.u_30r.d_b,20p.u_25r.d_b,20p.u_20r.d_b,20p.u_15r.d_b,20p.u_10r.d_b,20p.u_05r.d_b,15p.u_35r.d_b,15p.u_30r.d_b,15p.u_25r.d_b,15p.u_20r.d_b,15p.u_15r.d_b,15p.u_10r.d_b,15p.u_05r.d_b,10p.u_35r.d_b,10p.u_30r.d_b,10p.u_25r.d_b,10p.u_20r.d_b,10p.u_15r.d_b,10p.u_10r.d_b,10p.u_05r.d_b,05p.u_35r.d_b,05p.u_30r.d_b,05p.u_25r.d_b,05p.u_20r.d_b,05p.u_15r.d_b,05p.u_10r.d_b,05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,35p.u_r.nc_b,30p.u_r.nc_b,25p.u_r.nc_b,20p.u_r.nc_b,15p.u_r.nc_b,10p.u_r.nc_b,05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder
R_11clrTYY8I8eRGY,Default Response Set,Anonymous,,,73.56.212.6,0,2020-03-26 16:03,2020-03-26 16:19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,,6,7,6,5,5,6,5,1,62,38,2,2,2,2,1,26,26,4,5,51,50,52,51,20,19,19,20,considering more benefit for poors,1,5,6,5,7,6,5,2,6,5,4,6,6,7,6,5,6,7,2,38,1,2,4,4,5,3,,,5,1,1,6
R_3kbxgtNnLulMVbn,Default Response Set,Anonymous,,,5.181.41.43,0,2020-03-26 15:57,2020-03-26 16:19,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,6,5,4,5,5,6,4,1,50,50,2,1,1,1,1,27,26,3,2,52,51,52,54,20,18,20,21,veryb jsed,1,4,4,4,5,4,3,2,4,5,4,5,4,3,4,5,5,6,2,47,1,7,4,4,3,1,,46,,1,1,4
R_3HMuCcOxcCWkDeA,Default Response Set,Anonymous,,,71.66.107.178,0,2020-03-26 16:09,2020-03-26 16:19,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,5,,7,7,6,6,5,6,5,1,65,35,2,1,1,2,2,28,27,4,5,52,51,53,54,21,19,21,20,Can't able say anything under this circunstance,1,5,6,5,7,6,7,2,6,7,5,6,5,7,5,6,5,7,1,28,1,3,7,7,7,3,,,7,1,1,3
R_1Ijk0sv71rOrOxb,Default Response Set,Anonymous,,,192.154.255.210,0,2020-03-26 15:32,2020-03-26 16:19,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,,1,6,1,1,1,1,2,1,20,80,2,2,1,2,1,24,22,3,4,50,50,52,50,19,21,19,20,The overall benefits to make lower income families in a better position.,1,2,2,2,2,6,7,2,2,6,3,3,2,2,6,5,6,5,1,37,1,5,4,5,3,2,1,44,,1,1,8
R_28BWj0QRowt5jsJ,Default Response Set,Anonymous,,,73.135.76.176,0,2020-03-26 15:44,2020-03-26 16:19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,,4,7,6,2,4,4,4,1,60,40,2,2,1,2,2,24,23,4,4,50,50,52,50,19,19,19,19,I was thinking about making things better for poor people.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,2,28,1,9,1,1,1,2,1,46,,1,1,6
R_1pMrK9uhXOu7BQ8,Default Response Set,Anonymous,,,67.11.160.144,0,2020-03-26 16:06,2020-03-26 16:20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,8,19,1,4,5,6,5,5,6,1,80,20,2,2,1,1,2,29,28,4,4,51,51,50,50,19,19,19,18,If i agreed with it or not ,1,2,5,5,4,5,4,2,5,4,4,5,4,5,5,4,4,4,1,38,1,10,6,6,6,3,,,6,1,1,6
R_1jd1GyTa0Du0aEB,Default Response Set,Anonymous,,,76.100.197.204,0,2020-03-26 15:27,2020-03-26 16:21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,7,1,1,6,1,6,6,1,70,30,2,1,1,1,2,23,22,5,5,50,50,54,50,18,18,18,21,"At first I was seeing if the lower 20% got a an increase or their situation not change, but then I also thought the top 20% should not get a big increase even if the lower 20% got an increase",1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,48,2,6,2,2,2,1,,49,,1,1,5
R_2wRHCFiyVMTVvFL,Default Response Set,Anonymous,,,23.226.130.99,0,2020-03-26 16:09,2020-03-26 16:22,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,,5,5,3,4,3,4,5,1,50,50,2,1,1,1,2,,25,3,4,53,53,52,52,20,21,20,20,based on the percentage,1,4,5,4,5,5,4,2,4,5,5,4,5,5,4,4,5,4,1,26,1,10,4,4,4,2,1,46,,1,1,5
R_AmSmSiCkPa137fX,Default Response Set,Anonymous,,,24.251.135.163,0,2020-03-26 15:38,2020-03-26 16:22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,,7,6,,1,1,5,5,1,100,0,2,2,1,2,2,23,22,5,5,50,50,54,50,19,19,18,21,It was important that poor people received a notable benefit from the policy.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,2,39,1,4,1,1,1,1,,49,,1,1,8
R_3HAGFtfyzO90JGu,Default Response Set,Anonymous,,,74.40.220.16,0,2020-03-26 16:00,2020-03-26 16:22,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,5,,6,5,5,6,4,4,5,1,50,50,4,2,1,2,1,28,26,4,5,53,52,53,54,21,20,21,22,yes,1,6,5,4,6,5,7,2,5,6,5,4,5,6,7,5,6,5,1,28,1,2,6,6,7,3,,,6,1,1,2
R_2b0FUotqKMlQmwo,Default Response Set,Anonymous,,,108.18.4.172,0,2020-03-26 15:26,2020-03-26 16:22,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,6,5,5,5,4,4,5,1,50,50,2,2,1,2,2,28,27,4,4,50,51,53,50,18,18,21,20,Benefit range ,1,6,4,5,6,5,5,2,5,6,3,3,3,2,5,6,6,5,1,45,1,5,6,6,6,1,,48,,1,1,5
R_RCT4mXPpiioWUxz,Default Response Set,Anonymous,,,100.36.133.136,0,2020-03-26 16:15,2020-03-26 16:22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,8,16,1,4,1,1,1,1,1,1,60,40,2,2,1,1,1,27,24,3,2,52,52,50,50,20,20,18,18,I was thinking about the details of the policy,1,5,6,6,5,3,2,2,3,5,3,3,5,6,5,5,6,1,1,24,1,7,6,6,6,3,,,4,1,1,6
R_2Ufne5lXv4zLFwW,Default Response Set,Anonymous,,,72.210.76.160,0,2020-03-26 16:07,2020-03-26 16:23,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,2,,4,5,3,4,3,3,3,1,50,50,2,2,2,2,1,26,26,4,3,51,52,51,53,20,19,21,20,my instincts,1,4,5,3,5,3,4,2,5,4,5,4,5,3,5,4,5,3,1,32,1,4,6,6,6,1,,47,,1,1,5
R_SV1QUPQju4tWUtb,Default Response Set,Anonymous,,,68.48.29.93,0,2020-03-26 15:55,2020-03-26 16:23,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,,4,2,4,3,2,2,6,1,40,60,2,2,1,2,1,27,26,4,4,53,51,52,50,20,19,19,22,no,1,4,2,3,2,5,3,2,4,4,6,3,6,3,4,6,3,7,2,27,1,2,2,2,4,3,,,6,1,1,3
R_xyHenhueQaRfJ4J,Default Response Set,Anonymous,,,174.128.244.74,0,2020-03-26 15:46,2020-03-26 16:24,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,4,7,3,3,3,3,3,1,50,50,2,2,2,2,2,28,27,4,4,51,50,51,51,18,18,18,18,"THE FACTORS OF BEEN POOR, THE POOR NEEDS HELP.",1,5,5,4,3,4,4,2,4,5,4,3,5,4,5,3,4,5,1,25,1,9,2,2,3,1,,46,,1,1,4
R_bJkDiIa9BZrMOul,Default Response Set,Anonymous,,,24.218.18.163,0,2020-03-26 15:59,2020-03-26 16:25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,,1,5,1,1,6,3,2,1,45,55,2,1,2,1,1,29,28,5,5,50,50,54,50,18,18,18,18,"I voted on most policies that increased poor wealth no matter the % except when decreasing rich wealth by 35% and only increasing poor wealth by 5%.  That's not a good trade off.  Also, I'm fine with the rich getting richer as long as we lift people out of poverty.  i have no desire to punish the rich.",1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,6,2,50,1,4,3,2,5,2,2,,2,1,1,8
R_3EPQHcvUndyTUWK,Default Response Set,Anonymous,,,172.115.179.129,0,2020-03-26 15:49,2020-03-26 16:25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,3,5,3,3,5,3,3,1,70,30,2,2,2,2,1,28,27,4,4,50,50,53,50,19,19,19,19,How much it helps the poor and then how much it helps the nation overall. ,1,1,2,2,1,2,3,2,7,6,2,1,2,3,7,6,7,7,1,29,2,3,4,4,5,2,2,,3,1,1,6
R_20ZIvykCoFjMNW0,Default Response Set,Anonymous,,,70.178.122.87,0,2020-03-26 16:13,2020-03-26 16:25,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,2,6,6,1,1,4,4,1,70,30,2,2,1,2,2,23,22,5,5,50,50,54,50,21,21,18,18,If it would actually benefit the poor and raise their station.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,37,1,1,1,1,2,2,1,46,,1,1,8
R_3KZ4QGS45rLhdCQ,Default Response Set,Anonymous,,,68.228.235.66,0,2020-03-26 16:03,2020-03-26 16:27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,,4,4,4,2,3,4,2,1,80,20,2,1,2,2,1,25,22,4,4,50,50,54,50,18,18,18,18,"I was mostly thinking about how to make society more equal, but not going overboard to an extreme and taking away 30+ % of rich people's wealth because I don't society would benefit from such punitive actions. ",1,1,1,1,1,7,7,2,7,7,1,1,1,6,7,7,6,7,1,31,1,6,4,2,5,2,1,43,,1,1,5
R_71IRWWdXuH6ouUF,Default Response Set,Anonymous,,,24.246.101.242,0,2020-03-26 16:09,2020-03-26 16:27,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,3,4,4,4,4,4,4,1,75,25,2,1,2,2,2,27,26,4,4,50,50,52,50,18,18,18,18,I was saying yes to something that would make things more equal.,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,39,1,15,5,5,5,1,,45,,1,1,5
R_Dpin7uWAL8IzgMF,Default Response Set,Anonymous,,,174.85.170.249,0,2020-03-26 16:10,2020-03-26 16:27,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,1,6,2,1,2,2,2,1,35,65,2,2,1,2,2,24,24,4,4,50,50,52,50,19,19,18,18,whether the gap would be beneficial to the poorer 20% ,1,2,2,2,2,6,6,2,6,6,2,2,2,6,6,6,6,6,1,50,1,8,4,4,4,1,,46,,1,1,6
R_e5qEd0wIwBiuN8J,Default Response Set,Anonymous,,,146.115.252.206,0,2020-03-26 15:43,2020-03-26 16:28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,,2,4,4,5,2,7,2,1,75,25,2,1,2,1,1,27,24,1,2,50,50,51,50,18,18,18,21,I looked at each individually. Someone needed to gain for me to vote yes.,1,5,6,6,5,3,2,2,5,2,6,4,6,6,6,2,6,2,2,22,1,4,5,3,6,3,,,6,1,1,7
R_3O2hBxKeDB9MfvE,Default Response Set,Anonymous,,,107.140.191.176,0,2020-03-26 16:16,2020-03-26 16:29,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,2,8,13,4,3,4,,3,4,3,1,70,30,2,2,1,2,2,24,23,3,3,51,51,50,50,21,21,18,18,I weight the effect between poor and the rich,1,6,6,6,5,6,4,2,4,4,4,4,4,4,5,4,4,4,2,44,4,8,5,5,6,2,2,,2,1,1,6
R_3eagJEfG8ENw3YE,Default Response Set,Anonymous,,,24.241.9.111,0,2020-03-26 16:17,2020-03-26 16:29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,1,6,2,2,4,5,5,1,99,1,2,2,1,2,2,24,22,4,2,52,50,51,50,22,22,18,18,"I was thinking from the perspective of a desperately poor family, for whom a 5% pay rise would be a godsend. ",1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,24,1,1,1,1,1,1,,45,,1,1,8
R_DnGuMfkFpaO2n29,Default Response Set,Anonymous,,,184.153.107.194,0,2020-03-26 16:15,2020-03-26 16:30,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,6,7,3,3,3,3,2,1,30,70,2,2,1,1,2,25,23,5,5,50,50,53,50,19,18,18,19,Whether it would be good for people and the economy. There should be a balance.,1,5,5,5,1,6,7,2,1,7,1,1,1,3,7,7,7,7,2,20,4,5,1,1,2,1,,49,,1,1,6
R_31RZz7SWdWeQu6I,Default Response Set,Anonymous,,,23.227.192.122,0,2020-03-26 16:06,2020-03-26 16:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,,7,6,5,3,3,3,3,1,50,50,2,2,2,2,2,27,26,4,4,51,51,54,51,20,20,20,21,General benefits / The more feasible policy / How the policy could affect all Americans positively,1,6,6,6,6,6,2,2,5,3,5,5,5,5,6,3,6,3,2,29,1,10,5,5,5,3,,,4,1,1,6
